Description,Category,Job_Code
GROUND FLOOR CEILING PLASTERING,Plastering,PTG004
GROUND FLOOR INTERNAL WALL & STAIRCASE PLASTERING,Plastering,PTG005
GROUND FLOOR EXTERNAL WALL PLASTERING,Plastering,PTG006
FIRST FLOOR CEILING PLASTERING,Plastering,PTG007
FIRST FLOOR INTERNAL WALL & STAIRCASE PLASTERING,Plastering,PTG008
FIRST FLOOR EXTERNAL WALL PLASTERING,Plastering,PTG009
TERRACE FLOOR CEILING PLASTERING,Plastering,PTG010
TERRACE FLOOR INTERNAL WALL PLASTERING,Plastering,PTG011
TERRACE FLOOR EXTERNAL WALL PLASTERING,Plastering,PTG012
SCAFFOLDING FOR EXTERNAL PLASTERING,Plastering,PTG013
"TOILETS, KITCHEN & UTILITY INTERNAL WATER SUPPLY PIPING WORK WITH WALL CUTTING,CHIPPING & PRESSURE TESTING, SEWER & WASTE WATER PIPING",Plumbing,PMG001
"TOILETS,BALCONY, TERRACE VERTICAL LINE (WATER SUPPLY,SEWER,WASTE,RAIN WATER LINES)WITH SUPPORTING CHANNELS UPTO INSPECTION CHAMBER",Plumbing,PMG002
GROUND FLOOR TOILET CHIPPING & EXCAVATION,Plumbing,PMG003
"EXTERNAL PIPE LINE WORKS WITH PROPER SLOPES (WATER SUPPLY,SEWER,WASTE,RAIN WATER LINES) INSPECTION CHAMBER TO MAIN CHAMBER CONNECTION",Plumbing,PMG004
"COLLECTING FIXING,TESTING,COMMISSIONING OF ALL THE CP & SANITARY FIXTURES",Plumbing,PMG005
CORE CUTTING,Plumbing,PMG006
PLUMBING TESTING & HANDOVER,Plumbing,PMG007
PLUMBING CHAMBER COVER FIXING,Plumbing,PMG008
RAINWATER PIPE LAYING,Plumbing,PMG009
"CARPARKING AREA PCC CUTTING,EXCAVATION,PIPE LAYING WORK",Plumbing,PMG010
GROUND FLOOR PARKING AREA CHIPPING AND EXCAVATION,Plumbing,PMG011
ATT IN PLINTH,Preliminary,PMY001
SITE CLEANING & GRUBBING,Preliminary,PMY002
TREE CUTTING,Preliminary,PMY003
BASE FLOOR SOLING WORK,Preliminary,PMY004
FOOTING SOILING ,Preliminary,PMY005
PLINTH BEAM BOTTOM SOLING,Preliminary,PMY006
FOOTING REINFORCEMENT,Reinforcement,RRT001
PEDESTAL COLUMN REINFORCEMENT,Reinforcement,RRT002
PLINTH BEAM REINFORCEMENT,Reinforcement,RRT003
GROUND FLOOR COLUMN REINFORCEMENT,Reinforcement,RRT004
GROUND FLOOR ROOF BEAM & SLAB REINFORCEMENT,Reinforcement,RRT005
GROUND FLOOR STAIRCASE SLAB REINFORCEMENT,Reinforcement,RRT006
"GROUND FLOOR SILL, LINTEL BEAM & CHEJJA REINFORCEMENT",Reinforcement,RRT007
FIRST FLOOR COLUMN REINFORCEMENT,Reinforcement,RRT008
FIRST FLOOR ROOF BEAM & SLAB REINFORCEMENT,Reinforcement,RRT009
FIRST FLOOR STAIRCASE SLAB REINFORCEMENT,Reinforcement,RRT010
"FIRST FLOOR SILL, LINTEL BEAM & CHEJJA REINFORCEMENT",Reinforcement,RRT011
TERRACE FLOOR COLUMN REINFORCEMENT,Reinforcement,RRT012
TERRACE FLOOR ROOF BEAM & SLAB REINFORCEMENT,Reinforcement,RRT013
TERRACE FLOOR LINTEL BEAM & CHEJJA REINFORCEMENT,Reinforcement,RRT014
FIRST FLOOR ROOF BEAM & SLAB REINFORCEMENT ,Reinforcement,RRT015
UTILITY PLINTH BEAM REINFORCEMENT,Reinforcement,RRT016
"GROUND FLOOR, FIRST FLOOR & TERRACE FLOOR SILL, LINTEL BEAM & CHEJJA REINFORCEMENT",Reinforcement,RRT017
"FIRST & TERRACE FLOOR SILL, LINTEL BEAM & CHEJJA REINFORCEMENT",Reinforcement,RRT018
PAINT REWORK IN VILLAS AFTER WALL CRACK TREATMENT,Rework,RWK001
GROUND FLOOR EXTERNAL WALL & CHEJJA ONE COAT EXTERIOR PAINT REWORK,Rework,RWK002
FIRST FLOOR EXTERNAL WALL & CHEJJA ONE COAT EXTERIOR PAINT REWORK,Rework,RWK003
TERRACE FLOOR EXTERNAL WALL & CHEJJA ONE COAT EXTERIOR PAINT REWORK,Rework,RWK004
FOOTING SHUTTERING REWORK,Rework,RWK005
FOOTING REINFORCEMENT REWORK,Rework,RWK006
PEDESTAL COLUMN SHUTTERING REWORK,Rework,RWK007
PEDESTAL COLUMN REINFORCEMENT REWORK,Rework,RWK008
GROUND FLOOR COLUMN REINFORCEMENT REWORK,Rework,RWK009
"EXTERNAL WALL & CHEJJA ONE COAT PRIMER, TWO COATS EXTERNAL EMULSION PAINT REWORK",Rework,RWK010
"ALL FLOOR INTERNAL WALL TWO COATS PUTTY, ONE COAT PRIMER, TWO COAT EMULSION PAINT REWORK",Rework,RWK011
TERRACE & SHR WATERPROOF COATING REWORK,Rework,RWK012
TERRACE & SHR SCREED CONCRTE CHIPPING AND DEBRISH REMOVAL REWORK,Rework,RWK013
PARKING COLUMN SHIFTING,Rework,RWK014
ALL FLOOR INTERNAL WALL & CEILING TWO COATS PUTTY REWORK AFTER CRACK TREATMENT,Rework,RWK015
ALL FLOOR INTERNAL WALL & CEILING ONE COAT PRIMER REWORK AFTER CRACK TREATMENT,Rework,RWK016
EXCAVATED SOIL REWORK IN FOOTING,Rework,RWK017
ALL FLOOR INTERNAL WALL & CEILING ONE COAT EMULSION PAINT REWORK,Rework,RWK018
ALL FLOOR INTERNAL WALL & CEILING TWO COATS INTERNAL EMULSION REWORK AFTER CRACK TREATMENT,Rework,RWK019
ALL FLOOR INTERNAL WALL & CEILING TWO COATS PUTTY REWORK,Rework,RWK020
ALL FLOOR INTERNAL WALL & CEILING ONE COAT PRIMER REWORK,Rework,RWK021
TOILET BORE PACKING REWORK,Rework,RWK022
TOILET RELOCATION REWORK TILING REPAIR WORK,Rework,RWK023
TOILET CUSTOMISATION ELECTRICAL WORK REWORK,Rework,RWK024
TOILET PLUMBING CUSTOMISATION WORK REWORK,Rework,RWK025
GROUND FLOOR & FIRST FLOOR TILE DAMAGE TOTAL REWORK,Rework,RWK026
GROUND FLOOR STAIRCASE SLAB RCC REWORK,Rework,RWK027
GROUND FLOOR STAIRCASE SLAB SHUTTERING REWORK,Rework,RWK028
FIRST FLOOR STAIRCASE SLAB SHUTTERING REWORK,Rework,RWK029
FRONT OF HOUSE FOOTPATH AREA BLOCK WORK (REWORK AGAIN),Rework,RWK030
FRONT OF HOUSE FOOTPATH AREA PAVER BLOCK REWORK (REWORK AGAIN),Rework,RWK031
FRONT OF HOUSE FOOTPATH AREA KERB STONE REWORK (REWORK AGAIN),Rework,RWK032
FRONT OF HOUSE FOOTPATH AREA RAMP REWORK (REWORK AGAIN),Rework,RWK033
EXTERNAL WALL & CHEJJA ONE COAT EXTERIOR PAINT REWORK,Rework,RWK034
BASE FLOOR EARTH DRESSING (Released for utility tile rework),Rework,RWK035
ELEVATION RCC BAND (Rework of window coping granite),Rework,RWK036
FRONT OF HOUSE FOOTPATH AREA KERB STONE (REWORK AGAIN),Rework,RWK037
FRONT OF HOUSE FOOTPATH AREA PAVER BLOCK (REWORK AGAIN),Rework,RWK038
SLAB TREATMENT (POLYMER SHEET FOR SLAB CRACK RECTIFICATION),Rework,RWK039
ELECTRICAL BOX SHIFTING (REWORK),Rework,RWK040
FOOTING SHUTTERING,Shuttering,STG001
PEDESTAL COLUMN SHUTTERING,Shuttering,STG002
PLINTH BEAM SHUTTERING,Shuttering,STG003
GROUND FLOOR COLUMN SHUTTERING,Shuttering,STG004
GROUND FLOOR ROOF BEAM & SLAB SHUTTERING,Shuttering,STG005
GROUND FLOOR STAIRCASE SLAB SHUTTERING,Shuttering,STG006
"GROUND FLOOR SILL, LINTEL BEAM & CHEJJA SHUTTERING",Shuttering,STG007
FIRST FLOOR COLUMN SHUTTERING,Shuttering,STG008
FIRST FLOOR ROOF BEAM & SLAB SHUTTERING,Shuttering,STG009
FIRST FLOOR STAIRCASE SLAB SHUTTERING,Shuttering,STG010
"FIRST FLOOR SILL, LINTEL BEAM & CHEJJA SHUTTERING",Shuttering,STG011
TERRACE FLOOR COLUMN SHUTTERING,Shuttering,STG012
TERRACE FLOOR BEAM & SLAB SHUTTERING,Shuttering,STG013
TERRACE FLOOR LINTEL BEAM & CHEJJA SHUTTERING,Shuttering,STG014
UTILITY PLINTH BEAM SHUTTERING,Shuttering,STG015
"ALL FLOOR SILL, THROUGH LINTEL BEAM & CHEJJA SHUTTERING",Shuttering,STG016
TERRACE FLOOR COLUMN SHUTTERING (FIXING ONLY),Shuttering,STG017
TERRACE FLOOR COLUMN SHUTTERING (ONLY FIXING),Shuttering,STG018
"TOILET, BALCONY, TERRACE & SHR WATERPROOF COATING",Waterproofing,WRG001
WATERPROOF PLASTERING,Waterproofing,WRG002
WATERPROOF SCREED CONCRETE 50MM THICK,Waterproofing,WRG003
WATERPROOF SCREED CONCRETE 75MM THICK,Waterproofing,WRG004
CINDER FILLING ALL FLOOR,Waterproofing,WRG005
BORE PACKING ALL FLOOR,Waterproofing,WRG006
TOILET BALCONY AND CARPARKING ROOF WATERPROOF COATING,Waterproofing,WRG007
TERRACE AND SHR WATERPROOF COATING,Waterproofing,WRG008
CINDER FILLING & WATERPROOF SCREED CONCRETE 75MM THICK,Waterproofing,WRG009
PRESSURE GROUTING,Waterproofing,WRG010
"TOILET, BALCONY, TERRACE & SHR WATERPROOF COATING (coating done for sunken as well)",Waterproofing,WRG011
